Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,Community Areas
fdf8653527a5df0c90f83e04d95f05d628b607d0,d3990b30cf39151c02a1fd95411768e41557a9c637a3ffb7aba96acda5acd81b69c4034e6c36f75e7e37bad3fb8e77fa03f315757e7f3b23200aa2516cc7db98,04/18/2015 12:00:00 AM,04/18/2015 12:15:00 AM,480,2.1,17031832000,17031031200,6,3,$7.65,$0.00,$0.00,$1.00,$8.65,Cash,Choice Taxi Association,41.946294536,-87.654298084,POINT (-87.6542980837 41.9462945357),41.972709547,-87.657341107,POINT (-87.6573411073 41.9727095466),57
fdf8653ddcc07ee5c13084f0a4a78f62da64ad59,63110c24f9fe3d2a2f2349cda4488428c058d897534fba923abad429a82ef08f47f04d242009dfe9e8e60963cd17862eba9e6e7972afa62dbefab9fa6b01fe4b,02/18/2015 03:00:00 PM,02/18/2015 03:00:00 PM,480,1.6,17031080300,17031081500,8,8,$6.85,$0.00,$0.00,$0.00,$6.85,Cash,,41.90749193,-87.63576009,POINT (-87.6357600901 41.9074919303),41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),37
fdf865d8358665090d1262320c04e2e7c57b67b4,b69af53b6bfa5117d62dff7468af6c9c4c17c0ed8377fb79566ff5ae4593892ba3ca2a8544bb9ddda7815b21fa4d01e8e640d81392b3ae12d62ccf11b0130185,02/21/2016 09:45:00 PM,02/21/2016 10:00:00 PM,780,3.8,,,6,77,$12.50,$2.50,$0.00,$0.00,$15.00,Credit Card,Taxi Affiliation Services,41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014),41.9867118,-87.663416405,POINT (-87.6634164054 41.9867117999),57
fdf8662e84982fde1a72435e8f1346ca6621a97a,e00149335c9dc8743c3728cc46e6416f0c4cc8b7873a509e69b64f89a5dba4fbe0cf5ea09cbdc8dbe670ceaa476e654529c524b026a0d3f47079084f707b9c48,03/30/2014 12:15:00 AM,03/30/2014 12:15:00 AM,300,0,17031081700,17031081700,8,8,$5.05,$0.00,$0.00,$2.50,$7.55,Cash,Taxi Affiliation Services,41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),37
fdf866b6ee5d609b60e4eec5ff741d93e7dc5d69,9e7deaa8f54586d39eba139f48d7c2253630e3ea28f0e2dd8c4c6196582f5f2186229d86d82422e90e672ad90461d4645b5f60213fdb65f060799d01ce0599f8,09/25/2014 11:00:00 AM,09/25/2014 11:00:00 AM,300,0.8,17031081500,17031081700,8,8,$5.25,$0.00,$0.00,$0.00,$5.25,Cash,,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),37
fdf86758d752dcd49bf92b4b0f85483b4266fb8c,4f189764b8d9b6f71f7936ab414cac07634be0a00790ca179f9460521b7c9c3e5e102f5ba4e1c9cd18cdd9856dbf4f66ae8f13d8c82f8d2d4872f74b96938a24,08/16/2013 11:00:00 PM,08/16/2013 11:15:00 PM,1020,0,17031842300,17031061800,24,6,$11.85,$0.00,$0.00,$0.00,$11.85,Cash,Blue Ribbon Taxi Association Inc.,41.89830587,-87.653613982,POINT (-87.6536139825 41.8983058696),41.946489764,-87.647113634,POINT (-87.647113634 41.946489764),25
fdf867afe1d6d21ff0ed425a1ba119d54f7d7789,93c7ea88e82e149f9bd85838f7df136a985576bb1b69242b739af90dcbd72514800abf711cfa9950ea0340a5d7e4897c717e9d0b5e958e23d32171ea2ee7fa85,06/29/2016 05:30:00 PM,06/29/2016 06:45:00 PM,4380,15.9,17031980000,17031080300,76,8,$46.75,$10.15,$0.00,$4.00,$60.90,Credit Card,Dispatch Taxi Affiliation,41.97907082,-87.903039661,POINT (-87.9030396611 41.9790708201),41.90749193,-87.63576009,POINT (-87.6357600901 41.9074919303),75
fdf867f6b2524fefa6774530cff4a74e545f8e49,219117300e1533ec46f1ecea1d5493ce1ba3d97a7950716045855fed1f9d8a13b9fd03e1aee267773514c2d3ee2ffbaf398c1cacbe0579fd4fb12c584350feb5,09/27/2016 09:00:00 AM,09/27/2016 09:15:00 AM,540,1,17031081500,17031839100,8,32,$7.25,$0.00,$0.00,$1.50,$8.75,Cash,Choice Taxi Association,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),37
fdf86807412865842e86a1bde6288e996fd558a1,366e6c5608c0c3c48ff268828574f12a90ea41f5b667f97d6c6439c475e36ea8e420bc104fc478426a5739cd16824bb800f4a196e5d11884dfb585e43d359f51,04/23/2014 08:15:00 AM,04/23/2014 08:15:00 AM,0,0.1,,,2,2,$3.45,$0.00,$0.00,$0.00,$3.45,Cash,Taxi Affiliation Services,42.001571027,-87.695012589,POINT (-87.6950125892 42.001571027),42.001571027,-87.695012589,POINT (-87.6950125892 42.001571027),20
fdf868341feb9d764a1705733a18daa6577e66bd,1746bb06b2666a785c5afc1ed4be2c58348f225b8eb4f8b86f3621bdd2cde94c7bf67631393954d8d3f300762974cb1204c41ef7d5d7a8c615b24aef5692feb0,03/14/2015 08:45:00 PM,03/14/2015 09:00:00 PM,660,0,17031070102,17031063000,7,6,$7.45,$0.00,$0.00,$1.50,$8.95,Cash,Taxi Affiliation Services,41.93057857,-87.642206313,POINT (-87.6422063127 41.9305785697),41.936310131,-87.651562592,POINT (-87.6515625922 41.9363101308),68
